id,rarity rank,background,gender,skin,tattoos,hat,hair,hairColor,clothes,bling,mouth,glass,facial
31,703,Deco,Female,Shade 3,None,Cowboy Hat,Hat,Blonde,Striped Tee,Pearl Necklace,Vape,Silver Piercings,None
32,3325,Sand,Female,Shade 6,None,None,Mohawk,Platinum,White Tank,Silver Cuban,Pipe,None,None
33,1448,Turquoise,Male,Shade 6,None,Sweatband,Hat,Blonde,Shirtless,None,Quellazaire,Sunglasses,Chinstrap
34,1346,Yellow,Female,Shade 7,None,Beanie,Hat,Platinum,Camo Tee,Pearl Necklace,Wizard Pipe,None,None
35,40,Green,Male,Shade 5,Emo Lover Tats,Trucker Hat,Hat,Rainbow,Leather Jacket,Pearl Necklace,Pipe,Reading Glasses,Half Goat
36,2901,Yellow,Male,Shade 2,None,None,Buzzed Braids,Brown,Turtleneck,None,Pipe,Sunglasses,Half Goat
37,2292,Pink,Female,Shade 2,None,None,Bowl Cut,Red,White Tee,Pearl Necklace,Cigarette,Designer Shades 2,None
38,4642,Mauve,Male,Shade 5,None,None,Top Dreads,Platinum,White Tee,None,None,None,None
39,4097,Blue,Female,Shade 3,None,None,Mullet,Red,Festival Top,None,None,None,None
40,2454,Turquoise,Male,Shade 4,None,None,Bald,Platinum,White Tee,Black Choker,None,Gold Piercings,Pencil Jaw
41,3475,Deco,Female,Shade 4,None,None,Mohawk,Blonde,White Tank,None,Pipe,Designer Shades,None
42,4694,Deco,Male,Shade 6,None,None,Top Dreads,Brown,White Tee,None,None,None,None
43,666,Turquoise,Female,Shade 4,None,Sweatband,Hat,Black,Dirty Tee,Bling,Cigarette,Shutter Shades,None
44,2729,Deco,Male,Shade 1,None,None,Shaggy,Brown,Rags,None,Snake Bites,Bridge Piercing,Quarter Goat
45,3728,Orange,Male,Shade 6,None,None,Mullet,Black,White Tee,None,Septum Piercing,Designer Shades 2,None
46,4734,Green,Male,Shade 6,None,None,Crew Cut,Platinum,Zip Up Hoodie,None,None,None,None
47,4064,Pine,Male,Shade 6,None,None,Mullet,Red,White Tee,None,Pipe,None,None
48,349,Pine,Female,Shade 3,None,Horns,Hat,Green,Dirty Tee,Silver Cuban,Hydration Pack,Silver Piercings,None
49,3649,Orange,Male,Shade 6,None,None,Bald,Blonde,Button up,None,Vape,Reading Glasses,None
50,3699,Mauve,Female,Shade 5,None,None,Mohawk,Platinum,Collard Tee,None,None,Gold Piercings,None
51,416,Light Purple,Male,Shade 2,None,Trucker Hat,Hat,Black,Zip Up Hoodie,Pearl Necklace,Hay,Cyborg Glasses,Sideburns
52,1134,Lavender,Female,Shade 3,None,Beanie,Hat,Platinum,White Tank,Silver Cuban,Septum Piercing,Steampunk Shades,None
53,1439,Mauve,Female,Shade 6,None,Bucket Hat,Hat,Blonde,Cut Off Sleeves,Gold Cuban,None,Gold Piercings,None
54,3618,Pink,Male,Shade 6,None,None,Buzzed Braids,Red,Button up,None,Pipe,Gold Piercings,None
55,4739,Deco,Male,Shade 5,None,None,Crew Cut,Brown,White Tank,None,None,None,None
56,634,Orange,Female,Shade 1,None,Sweatband,Hat,Blonde,Ripped Up Tee,Pearl Necklace,Hay,Designer Shades,None
57,1560,Turquoise,Male,Shade 1,None,None,Spikey,Black,Dirty Tee,Gold Cuban,Vape,Steampunk Shades,Handlebars
58,4886,Orange,Male,Shade 4,None,None,Mohawk,Black,Button up,None,None,None,None
59,4054,Mauve,Male,Shade 3,None,None,Mohawk,Platinum,Zip Up Hoodie,None,Vape,None,None
60,4333,Yellow,Female,Shade 5,None,None,Top Dreads,Red,White Tee,None,None,None,None
61,3344,Turquoise,Female,Shade 1,None,None,Bowl Cut,Blonde,Zip Up Hoodie,Gold Cuban,Septum Piercing,None,None
62,2645,Pink,Male,Shade 3,None,None,Mohawk,Brown,Zip Up Hoodie,Pearl Necklace,None,Designer Shades 2,Full Goat
63,3843,Lavender,Female,Shade 4,None,None,Shoulder Length,Red,Button up,None,Pipe,None,None
64,2937,Pink,Female,Shade 3,None,None,Shoulder Length,Platinum,Zip Up Hoodie,Pearl Necklace,Pipe,None,None
65,2379,Turquoise,Male,Shade 7,None,Beanie,Hat,Platinum,White Tank,None,Hay,3D Glasses,None
66,3340,Mauve,Male,Shade 6,None,None,Bowl Cut,Red,Button up,None,Pipe,Reading Glasses,5 o'clock
67,2441,Pink,Female,Shade 2,None,None,Buzzed Braids,Blonde,Button up,Gold Cuban,Pipe,Designer Shades 2,None
68,260,Turquoise,Female,Shade 2,None,Bucket Hat,Hat,Blue,Striped Tee,Pearl Necklace,Hay,Cyborg Glasses,None
69,3790,Deco,Female,Shade 5,None,None,Buzzed Braids,Brown,Dirty Tee,None,Septum Piercing,None,None
70,3746,Yellow,Female,Shade 3,None,None,Bowl Cut,Blonde,White Tee,Gold Cuban,None,None,None
71,4915,Yellow,Male,Shade 7,None,None,Mullet,Blonde,Hoodie,None,None,None,None
72,2281,Light Purple,Female,Shade 5,None,None,Buzzed Braids,Platinum,Hoodie,Gold Cuban,Vape,Bridge Piercing,None
73,1633,Mauve,Female,Shade 4,None,None,Dreads,Brown,Camo Tee,Pearl Necklace,Vape,Silver Piercings,None
74,1220,Sand,Female,Shade 5,None,None,Buzzed Braids,Blue,Hoodie,Pearl Necklace,Snake Bites,Steampunk Shades,None
75,911,Mauve,Male,Shade 1,None,Forwards Cap,Hat,Brown,Dirty Tee,Silver Cuban,Vape,Reading Glasses,Sideburns
76,3607,Turquoise,Male,Shade 1,None,None,Crew Cut,Red,Button up,Silver Cuban,Blunt,None,None
77,1367,Sand,Male,Shade 6,None,None,Buzzed Braids,Brown,Leather Jacket,Black Choker,Septum Piercing,Eyepatch,Handlebars
78,3223,Orange,Female,Shade 1,None,None,Shoulder Length,Brown,White Tank,None,Blunt,Steampunk Shades,None
79,3328,Green,Male,Shade 3,None,None,Spikey,Red,Shirtless With Tats,None,Quellazaire,Designer Shades 2,None
80,3989,Mauve,Female,Shade 7,None,None,Shoulder Length,Blonde,Festival Top,None,None,None,None
81,4837,Green,Male,Shade 6,None,None,Shaggy,Red,White Tank,None,None,None,None
82,60,Pine,Female,Shade 6,Lazy Boy Tats,Bucket Hat,Hat,Blue,Hawaiian Shirt,Black Choker,Pipe,Designer Shades,None
83,1941,Yellow,Male,Shade 2,None,None,Crew Cut,Platinum,Dirty Tee,Gold Cuban,Septum Piercing,Reading Glasses,5 o'clock
84,1718,Pine,Female,Shade 4,None,Beanie,Hat,Black,Leather Jacket,Black Choker,Septum Piercing,None,None
85,1619,Blue,Male,Shade 6,None,None,Spikey,Blonde,Collard Tee,Silver Cuban,Pipe,Sunglasses,5 o'clock
86,501,Blue,Male,Shade 3,None,Backwards Hat,Hat,Blonde,Hoodie,Black Choker,Wizard Pipe,Shutter Shades,Chinstrap
87,2171,Turquoise,Female,Shade 3,None,None,Crew Cut,Black,Camo Tee,Silver Cuban,Septum Piercing,Silver Piercings,None
88,1169,Mauve,Female,Shade 4,None,Bucket Hat,Hat,Blue,Leather Jacket,Silver Cuban,Surgical Mask,None,None
89,3630,Pine,Male,Shade 5,None,None,Mullet,Black,White Tee,Gold Cuban,Pipe,None,None
90,1135,Pine,Female,Shade 3,None,Beanie,Hat,Blonde,Cut Off Sleeves,Silver Cuban,Cigarette,Reading Glasses,None
91,3221,Mauve,Female,Shade 4,None,None,Spikey,Red,Turtleneck,None,Blunt,Designer Shades 2,None
92,4566,Lavender,Male,Shade 3,None,None,Bald,Platinum,Button up,None,None,None,None
93,762,Light Purple,Male,Shade 2,None,Backwards Hat,Hat,Black,Zip Up Hoodie,Silver Cuban,Quellazaire,Eyepatch,Stache
94,3965,Pine,Female,Shade 5,None,None,Dreads,Platinum,Dress,None,None,None,None
95,3735,Deco,Male,Shade 5,None,None,Mohawk,Red,White Tank,None,Vape,Reading Glasses,None
96,4159,Pink,Female,Shade 6,None,None,Shoulder Length,Brown,Button up,None,None,None,None
97,4571,Pine,Male,Shade 4,None,None,Bald,Platinum,White Tee,None,None,None,None
98,411,Pink,Female,Shade 5,None,Forwards Cap,Hat,Blue,Collard Tee,Silver Cuban,Snake Bites,Steampunk Shades,None
99,835,Green,Female,Shade 1,None,Forwards Cap,Hat,Pink,Hoodie,Gold Cuban,Pipe,Eyepatch,None
100,177,Mauve,Male,Shade 4,Lazy Boy Tats,Cowboy Hat,Hat,Red,Turtleneck,None,Wizard Pipe,Shutter Shades,Full Goat
101,4767,Green,Male,Shade 7,None,None,Shaggy,Blonde,Button up,None,None,None,None
102,4592,Light Purple,Male,Shade 7,None,None,Bald,Black,White Tank,None,None,None,None
103,2494,Turquoise,Male,Shade 2,None,Forwards Cap,Hat,Black,Camo Tee,None,Blunt,Shutter Shades,None
104,3688,Pink,Female,Shade 5,None,None,Buzzed Braids,Brown,Rags,None,None,Designer Shades 2,None
105,2133,Blue,Female,Shade 5,None,None,Bowl Cut,Blonde,White Tank,Pearl Necklace,Cigarette,Gold Piercings,None
106,1970,Lavender,Female,Shade 7,None,None,Bowl Cut,Black,Hoodie,Pearl Necklace,Snake Bites,Sunglasses,None
107,1808,Lavender,Male,Shade 4,None,None,Top Dreads,Brown,Hoodie,Pearl Necklace,Septum Piercing,Reading Glasses,Half Goat
108,899,Blue,Male,Shade 5,None,Beanie,Hat,Blonde,White Tank,Black Choker,Septum Piercing,Designer Shades,5 o'clock
109,4286,Green,Male,Shade 4,None,None,Bald,Black,Shirtless,None,None,None,None
110,2090,Pine,Male,Shade 1,None,None,Crew Cut,Brown,Hoodie,Silver Cuban,Vape,Designer Shades,Pencil Jaw
111,1075,Sand,Female,Shade 3,None,Cowboy Hat,Hat,Platinum,Hawaiian Shirt,Pink Choker,None,Bridge Piercing,None
112,2569,Blue,Female,Shade 5,None,None,Crew Cut,Black,White Tee,Gold Cuban,Vape,Designer Shades 2,None
113,2628,Yellow,Female,Shade 1,None,Forwards Cap,Hat,Platinum,Leather Jacket,None,None,Cyborg Glasses,None
114,519,Sand,Male,Shade 1,None,Sweatband,Hat,Brown,Dirty Tee,Black Choker,Hydration Pack,Reading Glasses,Pencil Jaw
115,3282,Lavender,Female,Shade 5,None,None,Shoulder Length,Brown,White Tee,None,Pipe,Steampunk Shades,None
116,4802,Orange,Male,Shade 6,None,None,Shaggy,Brown,Zip Up Hoodie,None,None,None,None
117,1799,Mauve,Male,Shade 3,None,Forwards Cap,Hat,Red,Turtleneck,None,Vape,Silver Piercings,Handlebars
118,2518,Sand,Male,Shade 1,None,None,Mohawk,Platinum,Zip Up Hoodie,Pearl Necklace,Pipe,Silver Piercings,None
119,4898,Lavender,Male,Shade 6,None,None,Bowl Cut,Black,Hoodie,None,None,None,None
120,926,Light Purple,Male,Shade 1,None,Bucket Hat,Hat,Brown,White Tank,Silver Cuban,Pipe,Designer Shades,Pencil Jaw
121,2040,Turquoise,Female,Shade 6,None,None,Shoulder Length,Red,Zip Up Hoodie,Pearl Necklace,Cigarette,Bridge Piercing,None
122,1474,Lavender,Male,Shade 7,None,None,Dreads,Blonde,Hoodie,Pearl Necklace,Snake Bites,Designer Shades,Sideburns
123,380,Green,Female,Shade 3,None,Winter Hat,Hat,Blue,Button up,Black Choker,Snake Bites,Shutter Shades,None
124,3420,Turquoise,Female,Shade 1,None,None,Shaggy,Red,Hoodie,Silver Cuban,Pipe,None,None
125,1946,Mauve,Female,Shade 3,None,None,Shaggy,Pink,White Tee,Bling,None,Future Shades,None
126,2802,Deco,Male,Shade 1,None,None,Buzzed Braids,Brown,White Tank,Black Choker,Cigarette,None,Handlebars
127,3229,Green,Female,Shade 1,None,None,Dreads,Red,White Tank,Gold Cuban,Blunt,None,None
128,4906,Deco,Male,Shade 2,None,None,Mullet,Red,Hoodie,None,None,None,None
129,2744,Mauve,Male,Shade 5,None,None,Dreads,Red,White Tee,Silver Cuban,Vape,Reading Glasses,None
130,4659,Sand,Male,Shade 4,None,None,Bowl Cut,Brown,White Tank,None,None,None,None
131,357,Sand,Male,Shade 1,None,Trucker Hat,Hat,Platinum,Camo Tee,Black Choker,Surgical Mask,Bridge Piercing,Lined Up Soul Patch
132,3425,Yellow,Male,Shade 2,None,None,Crew Cut,Blonde,Collard Tee,None,Snake Bites,Steampunk Shades,None
133,2315,Sand,Male,Shade 5,None,Winter Hat,Hat,Brown,Hoodie,Pearl Necklace,Blunt,None,None
134,2942,Turquoise,Male,Shade 5,None,Backwards Hat,Hat,Red,Hawaiian Shirt,None,None,Shutter Shades,None
135,630,Mauve,Female,Shade 1,None,Winter Hat,Hat,Brown,White Tee,Pink Choker,Hay,Steampunk Shades,None
136,4481,Pine,Male,Shade 3,None,None,Bowl Cut,Red,Shirtless,None,None,None,None
137,1225,Pink,Male,Shade 5,None,None,Bowl Cut,Platinum,Striped Tee,Black Choker,Hydration Pack,Gold Piercings,Full Goat
138,4231,Yellow,Female,Shade 3,None,None,Shaggy,Platinum,White Tank,None,None,None,None
139,1865,Light Purple,Male,Shade 3,None,Beanie,Hat,Brown,Button up,Silver Cuban,Cigarette,None,Pencil Jaw
140,1193,Yellow,Male,Shade 5,None,Winter Hat,Hat,Blonde,Cut Off Sleeves,Silver Cuban,Cigarette,Shutter Shades,None
141,3619,Deco,Male,Shade 5,None,None,Crew Cut,Red,Hoodie,Gold Cuban,Septum Piercing,None,None
142,2902,Pine,Male,Shade 5,None,None,Shaggy,Black,Collard Tee,None,Septum Piercing,Sunglasses,Quarter Goat
143,4105,Deco,Male,Shade 3,None,None,Bowl Cut,Red,Hoodie,None,Cigarette,None,None
144,4221,Pink,Female,Shade 4,None,None,Crew Cut,Platinum,White Tank,None,None,None,None
145,4930,Pink,Male,Shade 4,None,None,Crew Cut,Black,Hoodie,None,None,None,None
146,1268,Pink,Male,Shade 1,None,None,Bald,Black,Striped Tee,Black Choker,Septum Piercing,Steampunk Shades,Stache
147,3462,Mauve,Female,Shade 3,None,None,Spikey,Black,Zip Up Hoodie,None,Pipe,Designer Shades 2,None
148,2945,Yellow,Female,Shade 6,None,None,Buzzed Braids,Platinum,Zip Up Hoodie,Black Choker,Quellazaire,None,None
149,1078,Mauve,Female,Shade 5,None,Forwards Cap,Hat,Brown,Button up,Black Choker,Vape,Designer Shades,None
150,4610,Deco,Male,Shade 3,None,None,Bald,Blonde,Hoodie,None,None,None,None
151,3167,Sand,Female,Shade 2,None,None,Mohawk,Blonde,Turtleneck,None,Snake Bites,Bridge Piercing,None
152,4759,Deco,Male,Shade 7,None,None,Top Dreads,Brown,Hoodie,None,None,None,None
153,3532,Blue,Male,Shade 3,None,None,Shaggy,Brown,Button up,None,Surgical Mask,Sunglasses,None
154,3034,Mauve,Male,Shade 6,None,None,Bowl Cut,Black,Hoodie,None,Quellazaire,Sunglasses,Half Goat
155,3988,Pink,Male,Shade 1,None,None,Dreads,Blonde,White Tee,None,Vape,None,None
156,705,Yellow,Female,Shade 3,None,Sweatband,Hat,Brown,Leather Jacket,Black Choker,Quellazaire,Shutter Shades,None
157,2552,Mauve,Female,Shade 4,None,None,Mohawk,Red,Button up,Gold Cuban,Blunt,Designer Shades 2,None
158,4116,Lavender,Female,Shade 5,None,None,Crew Cut,Red,Festival Top,None,None,None,None
159,4322,Lavender,Female,Shade 6,None,None,Mullet,Brown,White Tee,None,None,None,None
160,1599,Orange,Male,Shade 7,None,None,Bowl Cut,Brown,Camo Tee,Silver Cuban,Snake Bites,Reading Glasses,Chinstrap
161,4334,Deco,Male,Shade 6,None,None,Top Dreads,Brown,Shirtless With Tats,None,None,None,None
162,608,Turquoise,Female,Shade 4,None,Cowboy Hat,Hat,Brown,Button up,Bling,Blunt,Cyborg Glasses,None
163,1770,Mauve,Female,Shade 6,None,None,Dreads,Platinum,Dirty Tee,Gold Cuban,Quellazaire,Sunglasses,None
164,4176,Green,Female,Shade 5,None,None,Shoulder Length,Blonde,Button up,None,None,None,None
165,4908,Turquoise,Male,Shade 4,None,None,Crew Cut,Brown,Zip Up Hoodie,None,None,None,None
166,4041,Pine,Female,Shade 5,None,None,Mohawk,Platinum,Festival Top,None,None,None,None
167,752,Orange,Male,Shade 7,None,Forwards Cap,Hat,Blonde,White Tee,Gold Cuban,Hydration Pack,Steampunk Shades,Sideburns
168,1381,Blue,Male,Shade 4,None,Winter Hat,Hat,Platinum,Shirtless,None,Pipe,Cyborg Glasses,Half Goat
169,273,Light Purple,Male,Shade 3,None,Horns,Hat,Pink,Hoodie,Bling,Pipe,Future Shades,Full Goat
170,1992,Blue,Female,Shade 4,None,None,Mohawk,Red,Dirty Tee,Black Choker,Septum Piercing,Designer Shades,None
171,1655,Sand,Female,Shade 2,None,None,Spikey,Red,Camo Tee,Black Choker,Quellazaire,Reading Glasses,None
172,1894,Pine,Female,Shade 2,None,Winter Hat,Hat,Red,White Tee,None,Hydration Pack,Future Shades,None
173,1490,Pink,Female,Shade 1,None,Sweatband,Hat,Brown,Ripped Up Tee,Gold Cuban,None,Gold Piercings,None
174,1637,Mauve,Female,Shade 5,None,None,Mohawk,Platinum,Hawaiian Shirt,Black Choker,Snake Bites,Gold Piercings,None
175,4482,Light Purple,Male,Shade 1,None,None,Bowl Cut,Red,Rags,None,None,None,None
176,2433,Light Purple,Male,Shade 7,None,None,Spikey,Brown,Hoodie,Black Choker,None,Silver Piercings,Full Goat
177,4070,Yellow,Female,Shade 4,None,None,Mohawk,Red,Dress,None,None,None,None
178,1166,Mauve,Female,Shade 3,None,Bucket Hat,Hat,Black,White Tee,Gold Cuban,Vape,Bridge Piercing,None
179,3793,Light Purple,Female,Shade 2,None,None,Shaggy,Black,Dress,None,Vape,None,None
180,2354,Turquoise,Male,Shade 5,None,None,Mohawk,Red,Button up,Silver Cuban,Vape,Designer Shades 2,5 o'clock
181,3134,Orange,Female,Shade 7,None,None,Shoulder Length,Black,Dress,None,Cigarette,Designer Shades 2,None
182,4195,Light Purple,Female,Shade 3,None,None,Shoulder Length,Black,White Tee,None,None,None,None
183,2955,Pine,Male,Shade 3,None,None,Mohawk,Platinum,Shirtless,None,Blunt,Designer Shades 2,Half Goat
184,201,Pine,Female,Alien,None,Forwards Cap,Hat,Black,Dirty Tee,None,Hydration Pack,Shutter Shades,None
185,4670,Pine,Male,Shade 1,None,None,Crew Cut,Platinum,Zip Up Hoodie,None,None,None,None
186,1443,Orange,Male,Shade 7,None,None,Mohawk,Black,Ripped Up Tee,Pearl Necklace,Septum Piercing,Steampunk Shades,Pencil Jaw
187,100,Mauve,Female,Zombie,None,Horns,Hat,Black,Leather Jacket,Silver Cuban,Wizard Pipe,Eyepatch,None
188,205,Turquoise,Female,Shade 1,Emo Lover Tats,Beanie,Hat,Black,Zip Up Hoodie,Bling,Blunt,None,None
189,1012,Light Purple,Female,Shade 5,None,Horns,Hat,Blonde,Hawaiian Shirt,Gold Cuban,Cigarette,Reading Glasses,None
190,4263,Green,Female,Shade 3,None,None,Crew Cut,Platinum,White Tee,None,None,None,None
191,4899,Orange,Male,Shade 4,None,None,Mohawk,Red,White Tank,None,None,None,None
192,2548,Deco,Female,Shade 1,None,None,Shaggy,Blonde,Zip Up Hoodie,Gold Cuban,Blunt,Designer Shades 2,None
193,1863,Turquoise,Male,Shade 1,None,None,Dreads,Brown,Button up,Gold Cuban,Septum Piercing,Eyepatch,Full Goat
194,2245,Green,Female,Shade 6,None,None,Crew Cut,Brown,Zip Up Hoodie,Black Choker,Vape,Sunglasses,None
195,350,Deco,Male,Shade 1,None,Trucker Hat,Hat,Platinum,Cut Off Sleeves,Pearl Necklace,Surgical Mask,Sunglasses,Half Goat
196,2338,Green,Male,Shade 2,None,None,Mohawk,Blonde,Striped Tee,Pearl Necklace,Cigarette,Eyepatch,None
197,18,Mauve,Female,Alien,Street Tats,Cowboy Hat,Hat,Blue,Turtleneck,None,None,Shutter Shades,None
198,3893,Lavender,Male,Shade 6,None,None,Bald,Black,Rags,None,Cigarette,None,None
199,4594,Mauve,Male,Shade 6,None,None,Bald,Black,Button up,None,None,None,None
200,1239,Sand,Male,Shade 3,None,Forwards Cap,Hat,Black,Hoodie,Black Choker,None,Future Shades,Stache
201,4663,Light Purple,Male,Shade 1,None,None,Shaggy,Brown,Button up,None,None,None,None
202,1630,Sand,Male,Shade 1,None,Forwards Cap,Hat,Black,White Tee,None,Quellazaire,3D Glasses,Stache
203,1806,Light Purple,Male,Shade 4,None,None,Buzzed Braids,Platinum,Button up,Gold Cuban,Pipe,Sunglasses,Half Goat
204,3189,Pine,Male,Shade 6,None,None,Bowl Cut,Black,Turtleneck,None,Pipe,Designer Shades 2,5 o'clock
205,1818,Blue,Female,Shade 4,None,None,Buzzed Braids,Black,Zip Up Hoodie,Pearl Necklace,Surgical Mask,Silver Piercings,None
206,2181,Sand,Male,Shade 7,None,None,Bald,Black,Zip Up Hoodie,Silver Cuban,Septum Piercing,Designer Shades 2,5 o'clock
207,4386,Blue,Female,Shade 1,None,None,Top Dreads,Red,Hoodie,None,None,None,None
208,3185,Pine,Male,Shade 6,None,None,Shaggy,Brown,White Tee,None,Septum Piercing,Designer Shades,5 o'clock
209,1977,Deco,Male,Shade 5,None,None,Bald,Platinum,Zip Up Hoodie,Gold Cuban,Blunt,Designer Shades 2,Quarter Goat
210,3280,Orange,Female,Shade 7,None,None,Crew Cut,Brown,Hawaiian Shirt,None,Cigarette,Designer Shades 2,None
211,2049,Green,Male,Shade 6,None,Forwards Cap,Hat,Red,Leather Jacket,Gold Cuban,None,Gold Piercings,None
212,4191,Blue,Female,Shade 3,None,None,Shoulder Length,Black,White Tank,None,None,None,None
213,4496,Lavender,Male,Shade 3,None,None,Top Dreads,Blonde,Shirtless,None,None,None,None
214,772,Blue,Male,Shade 4,None,Forwards Cap,Hat,Blonde,Ripped Up Tee,Silver Cuban,Cigarette,Sunglasses,Chinstrap
215,1487,Yellow,Male,Shade 3,None,None,Bowl Cut,Brown,Cut Off Sleeves,Black Choker,Cigarette,Bridge Piercing,Full Goat
216,4223,Sand,Male,Shade 1,None,None,Bald,Blonde,Rags,None,None,None,None
217,4391,Turquoise,Female,Shade 4,None,None,Top Dreads,Red,White Tee,None,None,None,None
218,4873,Green,Male,Shade 5,None,None,Bowl Cut,Blonde,Hoodie,None,None,None,None
219,1939,Yellow,Male,Shade 3,None,Bucket Hat,Hat,Green,Turtleneck,None,Hay,None,Dapper Stache
220,790,Lavender,Female,Shade 5,None,Sweatband,Hat,Red,Striped Tee,Silver Cuban,Wizard Pipe,Shutter Shades,None
221,3553,Turquoise,Female,Shade 1,None,None,Mullet,Brown,Hoodie,None,Pipe,Reading Glasses,None
222,4187,Blue,Female,Shade 1,None,None,Shoulder Length,Brown,Zip Up Hoodie,None,None,None,None
223,4666,Mauve,Male,Shade 4,None,None,Crew Cut,Platinum,White Tank,None,None,None,None
224,94,Light Purple,Female,Shade 5,Emo Lover Tats,Bucket Hat,Hat,Blonde,Cut Off Sleeves,Black Choker,Surgical Mask,Designer Shades,None
225,1823,Yellow,Male,Shade 6,None,None,Spikey,Red,Collard Tee,Gold Cuban,Cigarette,Reading Glasses,5 o'clock
226,2156,Pine,Male,Shade 7,None,None,Mohawk,Red,White Tee,Silver Cuban,Pipe,Designer Shades,Full Goat
227,3283,Pink,Female,Shade 6,None,None,Dreads,Platinum,Button up,None,Cigarette,Designer Shades,None
228,4304,Pink,Female,Shade 2,None,None,Crew Cut,Brown,White Tee,None,None,None,None
229,0,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy,Mummy
230,1329,Sand,Male,Shade 2,None,None,Bowl Cut,Platinum,Ripped Up Tee,Black Choker,Snake Bites,Eyepatch,Quarter Goat
231,2654,Light Purple,Male,Shade 2,None,None,Spikey,Brown,White Tank,Silver Cuban,None,Reading Glasses,Half Goat
232,930,Green,Female,Shade 6,None,Beanie,Hat,Red,Ripped Up Tee,Black Choker,Cigarette,Steampunk Shades,None
233,2047,Lavender,Female,Shade 6,None,Winter Hat,Hat,Platinum,Turtleneck,None,Vape,Bridge Piercing,None
234,4397,Lavender,Female,Shade 6,None,None,Crew Cut,Blonde,White Tee,None,None,None,None
